ObjectID,GlobalID,Surface temperature,Surface type,Shade,Tree density,CreationDate,x,y
102,705daf40-2f2c-4d5d-8ca9-dd084cc29bde,42.9,Bare earth,Partial shade,3,7/27/2026 15:19,-71.120944,42.405269
48,5a8572e5-3bff-4e66-82d6-f5534ee6d020,56,Turf grass,No shade,0,7/27/2026 15:14,-71.12062286,42.40634633
105,e3e08e8b-6dd1-43ff-84c6-4436e2280ec7,55.6,Turf grass,No shade,1,7/27/2026 15:19,-71.1209439,42.40555148
86,239e2aa7-7279-4664-b1fc-f1c80e857bf7,54.7,Impervious (light-colored),No shade,2,7/27/2026 15:17,-71.12084005,42.40568552
338,bd80151d-78e4-4670-8e80-202a5a54209e,54.3,Bare earth,No shade,1,7/27/2026 15:40,-71.12194675,42.40387044
198,19dc8231-923a-4c22-8a61-22a8d326b733,53.9,Impervious (dark-colored),No shade,1,7/27/2026 15:26,-71.11925767,42.40827337
266,1a65c5fa-6a21-4145-bd38-06788f6a6ce5,53.4,Impervious (dark-colored),No shade,2,7/27/2026 15:32,-71.11998992,42.40633435
73,93ccb1d1-af63-40c9-be74-098f09dadad1,53.2,Impervious (dark-colored),No shade,1,7/27/2026 15:16,-71.12073367,42.40582385
297,37112ef4-272e-4dd6-bcf6-f9221d1f8bd0,53.1,Impervious (dark-colored),No shade,0,7/27/2026 15:33,-71.11926991,42.40698812
181,3b8326df-e593-4bf9-8c02-7548e0783ca9,52.9,Impervious (dark-colored),No shade,0,7/27/2026 15:25,-71.11944839,42.40771011
210,58233750-81a6-4b0e-8bde-445cfff4c0a1,52.6,Impervious (dark-colored),No shade,0,7/27/2026 15:27,-71.11904845,42.40842089
242,fa20b3a1-6fda-406b-9365-bbdb63db1ec4,52.5,Impervious (dark-colored),Partial shade,1,7/27/2026 15:29,-71.1189116,42.40856755
125,3b2f4e59-a476-40c3-b1dc-e8d6eae0c24e,52.4,Impervious (dark-colored),No shade,0,7/27/2026 15:21,-71.11996627,42.40753249
