card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
1871,1,2001,Waikato R,434.001,Lake Rotoroa,1300,niwa,s14,2710300,6376000,35,123,fyn,20,,gobcot,a,74,,,3018032
8750,2,2001,Waikato R,434.61,Lake Taupo tributary,night,bior,t19,2751000,6243200,350,381,gmt,1,,gobcot,,30,20,80,3048453
8831,2,2001,Waikato R,434.61,Lake Taupo tributary,night,bior,t19,2750700,6243400,350,380,gmt,2,,gobcot,,12,20,80,3048453
9320,1,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2753500,6310900,190,221,gmt,40,,gobcot,,1265,22,88,3032654
9321,1,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2754100,6310900,190,222,gmt,16,,gobcot,,681,22,88,3032654
9322,1,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2754100,6311900,190,222,gmt,6,,gobcot,,75,22,88,3032654
9323,1,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2752900,6312500,190,220,gmt,6,,gobcot,,135,22,88,3032654
9324,1,2001,Waikato R,434.34,Waipapa River,,niwa,t16,2744200,6318700,130,209,gmt,12,,gobcot,,21,26,87,3030697
9325,1,2001,Waikato R,434.002,Lake Waipapa,,niwa,t16,2744700,6319500,130,208,gmt,24,,gobcot,,420,26,87,3030430
9326,1,2001,Waikato R,434.002,Lake Waipapa,,niwa,t16,2745700,6317800,130,210,gmt,29,,gobcot,,871,26,87,3030430
9327,2,2001,Waikato R,434.01,Maraetai Stream,day,niwa,r13,2663500,6421600,2,4,efm,,3,gobcot,,100,31,105,3009581
9328,2,2001,Waikato R,434.01,Maraetai Stream,day,niwa,r13,2663600,6421500,2,4,efm,,3,gobcot,,22,42,108,3009581
9403,5,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2753500,6310900,190,221,gmt,40,,gobcot,,1515,24,88,3032654
9404,5,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2754100,6310900,190,222,gmt,16,,gobcot,,625,24,88,3032654
9405,5,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2754100,6311900,190,222,gmt,6,,gobcot,,93,24,88,3032654
9406,5,2001,Waikato R,434.002,Lake Maraetai,,niwa,t16,2752900,6312500,190,220,gmt,6,,gobcot,,275,24,88,3032654
9407,5,2001,Waikato R,434.002,Waikato River,,niwa,t17,2754400,6306400,195,228,gmt,20,,gobcot,,317,,,3035011
9408,4,2001,Waikato R,434.34,Waipapa River,,niwa,t16,2744200,6318700,130,209,gmt,12,,gobcot,,18,26,94,3030697
9409,4,2001,Waikato R,434.002,Lake Waipapa,,niwa,t16,2744700,6319500,130,208,gmt,24,,gobcot,,960,26,94,3030430
9410,4,2001,Waikato R,434.002,Lake Waipapa,,niwa,t16,2745700,6317800,130,210,gmt,29,,gobcot,,946,26,94,3030430
9411,4,2001,Waikato R,434.002,Waikato River,,niwa,t16,2749400,6313600,135,216,gmt,20,,gobcot,,311,,,3032433
12207,4,2002,Waikato R,434.002,Lake Waipapa,,niwa,t16,2744700,6319500,130,208,gmt,30,,gobcot,,365,25,67,3030430
12208,4,2002,Waikato R,434.002,Lake Waipapa,,niwa,t16,2745700,6317800,130,210,gmt,50,,gobcot,,489,31,70,3030430
12209,5,2002,Waikato R,434.002,Lake Maraetai,,niwa,t16,2753500,6310900,190,221,gmt,40,,gobcot,,734,22,78,3032654
12210,5,2002,Waikato R,434.002,Lake Maraetai,,niwa,t16,2754100,6310800,190,222,gmt,10,,gobcot,,120,30,75,3032654
12211,5,2002,Waikato R,434.002,Lake Maraetai,,niwa,t16,2754200,6311600,190,222,gmt,10,,gobcot,,253,41,71,3032654
12212,5,2002,Waikato R,434.002,Lake Maraetai,,niwa,t16,2753800,6311800,190,221,gmt,10,,gobcot,,94,39,72,3032654
